X,Y,Data,Ora,Luogo_corr,INCIDENTE,lon,lat
13.322305,38.151742,23/01/2017,19:00,VIALE REGIONE SICILIANA N.O. carr. centrale alt. Lazio,F,13.322305000000000,38.151741999999999
13.343914,38.132256,24/01/2017,04:30,VIA NOTARBARTOLO EMANUELE intersezione con VIA MATTARELLA PIERSANTI,F,13.343914000000000,38.132255999999998
13.322213,38.168662,24/01/2017,08:00,VIALE DELLA RESURREZIONE intersezione con VIA FLORIO,C,13.322213000000000,38.168661999999998
13.34401,38.1452,24/01/2017,07:30,VIA DEL BERSAGLIERE altezza del civico 26,C,13.344010000000001,38.145200000000003
13.325669,38.138878,24/01/2017,11:50,VIALE MICHELANGELO altezza del civico 313,F,13.325669000000000,38.138877999999998
13.328682,38.123075,24/01/2017,12:15,VIALE REGIONE SICILIANA altezza del civico 2176,F,13.328682000000001,38.123075000000000
13.286684,38.189603,24/01/2017,08:55,PIAZZA TOMMASO NATALE di fronte chiesa,C,13.286683999999999,38.189602999999998
13.364294,38.105921,24/01/2017,17:50,VIA CORAZZA FILIPPO intersezione con VIA  GUASTELLA,F,13.364293999999999,38.105921000000002
13.348901,38.128669,24/01/2017,20:09,VIA LA FARINA GIUSEPPE intersezione con VIA DELLA LIBERTA',F,13.348901000000000,38.128669000000002
13.396857,38.096654,25/01/2017,01:00,CORSO DEI MILLE intersezione con VIALE XXVII MAGGIO,C,13.396857000000001,38.096654000000001
13.347385,38.122953,25/01/2017,07:35,VIA DANTE intersezione con VIA GARZILLI NICCOLO',C,13.347384999999999,38.122953000000003
13.333815,38.149447,25/01/2017,09:30,VIALE DE GASPERI ALCIDE in prossimità di via trinacria,F,13.333815000000000,38.149447000000002
13.332427,38.100272,25/01/2017,10:00,VIALE MARIA SS. MEDIATRICE di fronte al civico 138,C,13.332426999999999,38.100271999999997
13.334293,38.101374,25/01/2017,11:10,VIALE MARIA SS. MEDIATRICE intersezione con VIA BAIARDI FRANCESCO,F,13.334293000000001,38.101374000000000
13.333692,38.102378,20/01/2017,22:25,VIA MULE' GIUSEPPE intersezione con VIA SCHIFANI VITO,C,13.333691999999999,38.102378000000002
13.336065,38.124143,25/01/2017,15:10,VIA AVERSA TOMMASO intersezione con VIA BISAZZA FELICE,F,13.336065000000000,38.124142999999997
13.343003,38.149086,25/01/2017,14:50,VIALE DEL FANTE altezza del civico 3,C,13.343003000000000,38.149085999999997
13.368981,38.095532,04/01/2017,11:20,VIA DELL'ORSA MINORE di fronte al civico 15,C,13.368981000000000,38.095531999999999
13.322305,38.151742,16/01/2017,13:15,VIALE REGIONE SICILIANA N.O. intersezione CORSO CALATAFIMI,C,13.322305000000000,38.151741999999999
13.359595,38.125927,18/01/2017,09:00,VIA AMARI EMERICO in prossimità di camera di com.,C,13.359595000000001,38.125926999999997
